run_started_at,n,compute_sec,write_sec,iter_total_sec,tie_points,local_min,max_local_min_p,hit_eps_floor,deadzone_used,deadzone_ambiguous,ulp_step_adjusted,hp_3point_sec,high_precision_points,hp_3point_attempted,hp_3point_resolved,hp_3point_failed,hp_flat_tol_scale
2026-05-02 12:27:57,483,5.946547,0.125838,6.072385,116645,341,0.651860218275,0,0,0,0,0.000000,0,0,0,0,1.0e+12
2026-05-02 12:27:57,484,6.007256,0.156781,6.164037,117129,335,0.651548283616,0,0,0,0,0.000000,0,0,0,0,1.0e+12
2026-05-02 12:27:57,485,6.135941,0.133065,6.269006,117613,343,0.652263374486,0,0,0,0,0.000000,0,0,0,0,1.0e+12
2026-05-02 12:27:57,486,6.107575,0.145222,6.252797,118099,345,0.651951424567,0,0,0,0,0.000000,0,0,0,0,1.0e+12
2026-05-02 12:27:57,487,6.097018,0.145556,6.242574,118585,335,0.651639344262,0,0,0,0,0.000000,0,0,0,0,1.0e+12
2026-05-02 12:27:57,488,6.130433,0.138675,6.269108,119073,343,0.652351738241,0,0,0,0,0.000000,0,0,0,0,1.0e+12
2026-05-02 12:27:57,489,6.074370,0.140366,6.214736,119561,343,0.652041514088,0,0,0,0,0.000000,0,0,0,0,1.0e+12
2026-05-02 12:27:57,490,6.140112,0.129423,6.269536,120051,341,0.651731160896,0,0,0,0,0.000000,0,0,0,0,1.0e+12
2026-05-02 12:27:57,491,6.086426,0.126044,6.212470,120541,341,0.651423452945,0,0,0,0,0.000000,0,0,0,0,1.0e+12
2026-05-02 12:27:57,492,6.071671,0.134177,6.205848,121033,343,0.652130507226,0,0,0,0,0.000000,0,0,0,0,1.0e+12
2026-05-02 12:27:57,493,6.119775,0.156747,6.276522,121525,349,0.651821862348,0,0,0,0,0.000000,0,0,0,0,1.0e+12
2026-05-02 12:27:57,494,6.122335,0.128370,6.250705,122019,351,0.651515832409,0,0,0,0,0.000000,0,0,0,0,1.0e+12
2026-05-02 12:27:57,495,6.197830,0.136857,6.334687,122513,339,0.652218423872,0,0,0,0,0.000000,0,0,0,0,1.0e+12
2026-05-02 12:27:57,496,6.273126,0.145373,6.418499,123009,351,0.651911468813,0,0,0,0,0.000000,0,0,0,0,1.0e+12
